name,ra_deg,dec_deg,redshift,m1450,M1450,disc_ref,disc_bibcode,redshift_ref,redshift_bibcode
J125001.43+015243.20,192.505958,1.878667,6.29,25.1,-21.67,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J221858.14+062406.30,334.74225,6.40175,6.29,22.46,-24.31,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J143054.67+531520.32,217.727792,53.255644,6.29,21.32,-25.45,Kim2022,2022AJ....164..114K,Kim2022,2022AJ....164..114K
J132905.06+431640.40,202.271083,43.277889,6.29,22.9,-23.87,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J142143.29+263157.12,215.430368,26.532534,6.28,20.4,-26.37,Banados2023,2023ApJS..265...29B,Banados2023,2023ApJS..265...29B
J113000.56+142043.97,172.502327,14.345547,6.28,20.98,-25.79,Martinez-Ramirez2026,2026arXiv260308830M,Martinez-Ramirez2026,2026arXiv260308830M
J113007.51+051149.10,172.531292,5.196972,6.27,21.6,-25.16,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J133534.37+025702.70,203.893208,2.95075,6.27,22.56,-24.2,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J152555.79+430324.00,231.482458,43.056667,6.27,23.15,-23.61,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J122331.91+025721.50,185.882958,2.955972,6.27,22.5,-24.26,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J123026.75+412840.35,187.611477,41.477875,6.27,20.53,-26.23,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J114648.42+012420.10,176.70175,1.405583,6.27,23.05,-23.71,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2018b,2018ApJS..237....5M
J162331.81+311200.50,245.88254,31.200138,6.2605,20.26,-26.5,Fan2004,2004AJ....128..515F,Wang2011,2011ApJ...739L..34W
J012235.47-003602.40,20.647792,-0.600667,6.26,21.68,-25.08,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J111123.42+034039.40,167.847583,3.677611,6.26,24.3,-22.46,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J001650.69+034154.10,4.211208,3.698361,6.26,23.12,-23.64,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J094624.10-001233.70,146.600417,-0.209361,6.26,23.77,-22.99,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J094713.88+034939.80,146.807833,3.827722,6.25,23.99,-22.77,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J104320.45+013104.70,160.835208,1.517972,6.25,22.57,-24.19,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J014310.24-554510.69,25.79265,-55.75297,6.25,21.11,-25.65,Reed2017,2017MNRAS.468.4702R,Reed2017,2017MNRAS.468.4702R
J084431.60-005254.60,131.131667,-0.881833,6.25,23.02,-23.74,Matsuoka2018a,2018PASJ...70S..35M,Matsuoka2018a,2018PASJ...70S..35M
J203704.37-515240.26,309.26819,-51.87785,6.25,21.01,-25.75,Martinez-Ramirez2026,2026arXiv260308830M,Martinez-Ramirez2026,2026arXiv260308830M
J223947.47+020747.50,339.947792,2.129861,6.2497,22.07,-24.69,Matsuoka2018a,2018PASJ...70S..35M,Izumi2019,2019PASJ...71..111I
J005006.67+344521.65,12.527771,34.756013,6.246,20.11,-26.65,Willott2010a,2010AJ....139..906W,Shen2019,2019ApJ...873...35S
J032340.34-470120.14,50.91808,-47.02226,6.241,20.74,-26.02,Reed2017,2017MNRAS.468.4702R,Eilers2020,2020ApJ...900...37E
J033027.92-402516.36,52.61632,-40.42121,6.239,20.34,-26.42,Reed2017,2017MNRAS.468.4702R,Eilers2020,2020ApJ...900...37E
J203209.99-211402.31,308.04164,-21.233975,6.2355,20.46,-26.3,Banados2016,2016ApJS..227...11B,Venemans2020,2020ApJ...904..130V
J113350.43+481431.50,173.460112,48.242084,6.233,21.63,-25.12,Banados2023;Gloudemans2022,2023ApJS..265...29B;2022A&A...668A..27G,Banados2023,2023ApJS..265...29B
J104311.09+011913.60,160.796208,1.320444,6.23,24.02,-22.73,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J131304.72+003542.20,198.269667,0.595056,6.23,24.15,-22.6,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J085548.47+073638.37,133.951954,7.610658,6.23,20.92,-25.83,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J132700.35+014147.70,201.751458,1.696583,6.23,23.39,-23.36,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J104845.06+463718.55,162.18777,46.621819,6.2284,19.56,-27.19,Fan2003,2003AJ....125.1649F,Carilli2010,2010ApJ...714..834C
J125845.66-004757.50,194.69025,-0.799306,6.22,23.76,-22.99,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J022743.29-060530.20,36.930375,-6.091722,6.212,21.52,-25.23,Willott2009,2009AJ....137.3541W,Shen2019,2019ApJ...873...35S
J033438.16-052557.84,53.658993,-5.432734,6.21,20.82,-25.93,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J041003.23-441440.70,62.51345,-44.24464,6.21,20.61,-26.14,Reed2017,2017MNRAS.468.4702R,Reed2017,2017MNRAS.468.4702R
J000613.84-793548.12,1.55765,-79.5967,6.21,20.51,-26.24,Martinez-Ramirez2026,2026arXiv260308830M,Martinez-Ramirez2026,2026arXiv260308830M
J084422.57+042353.70,131.094042,4.39825,6.21,23.2,-23.55,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J013603.22+022605.00,24.013417,2.434722,6.206,22.15,-24.6,Willott2010a,2010AJ....139..906W,Shen2019,2019ApJ...873...35S
J104429.18+010207.10,161.121583,1.035306,6.2,23.46,-23.29,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J121721.34+013142.47,184.338933,1.528464,6.2,21.43,-25.32,Banados2016;Wang2017,2016ApJS..227...11B;2017ApJ...839...27W,Banados2016,2016ApJS..227...11B
J225520.78+050343.30,343.836583,5.062028,6.2,22.31,-24.44,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J012652.90-305535.84,21.720429,-30.926621,6.2,21.43,-25.32,YangD2024,2024MNRAS.528.2679Y,YangD2024,2024MNRAS.528.2679Y
J151248.71+442217.50,228.202958,44.371528,6.19,24.67,-22.07,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J091833.17+013923.30,139.638208,1.656472,6.19,23.03,-23.71,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2018b,2018ApJS..237....5M
J040331.90-035508.35,60.882933,-3.918987,6.19,20.54,-26.2,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J104740.91+041724.30,161.920458,4.290083,6.19,23.31,-23.43,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J000233.24+212725.01,0.638496,21.456949,6.19,21.47,-25.27,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J142952.17+544717.70,217.46737,54.788249,6.19,20.7,-26.04,Willott2010a,2010AJ....139..906W,Khusanova2022,2022A&A...664A..39K
J042138.05-265715.61,65.408537,-26.954335,6.1871,19.53,-27.21,Banados2016,2016ApJS..227...11B,Venemans2020,2020ApJ...904..130V
J084408.61-013216.50,131.035875,-1.537917,6.183,22.77,-23.97,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2025b,2025ApJ...988...57M
J223212.03+001238.40,338.050125,0.210667,6.181,23.93,-22.81,Matsuoka2016,2016ApJ...828...26M,Matsuoka2025b,2025ApJ...988...57M
J142517.72-001540.90,216.323833,-0.261361,6.18,23.3,-23.44,Matsuoka2018a,2018PASJ...70S..35M,Matsuoka2018a,2018PASJ...70S..35M
J184520.68+534547.23,281.336151,53.763119,6.18,20.09,-26.65,Banados2023,2023ApJS..265...29B,Banados2023,2023ApJS..265...29B
J023558.20+043456.80,38.9925,4.582444,6.18,23.09,-23.65,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J001630.26-355631.42,4.12608,-35.94206,6.18,20.99,-25.75,Belladitta2025,2025A&A...699A.335B,Belladitta2025,2025A&A...699A.335B
J102047.40+042946.70,155.1975,4.496306,6.18,21.38,-25.36,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J235632.45-062259.26,359.135215,-6.383126,6.1722,20.0,-26.74,Banados2016;Wang2016,2016ApJS..227...11B;2016ApJ...819...24W,Eilers2020erratum,2021ApJ...914...74E
J125139.16+023342.20,192.913167,2.561722,6.17,25.21,-21.53,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J125456.03-005857.90,193.733458,-0.98275,6.17,23.44,-23.3,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J040212.70+245124.43,60.552902,24.856785,6.17,19.85,-26.89,Banados2016,2016ApJS..227...11B,Shen2019,2019ApJ...873...35S
J140147.34+274935.02,210.447244,27.826393,6.166,20.24,-26.5,Banados2016,2016ApJS..227...11B,Shen2019,2019ApJ...873...35S
J022122.71-080251.50,35.344625,-8.047639,6.161,22.09,-24.65,Willott2010a,2010AJ....139..906W,Shen2019,2019ApJ...873...35S
J220132.07+015529.00,330.383625,1.924722,6.16,23.77,-22.97,Matsuoka2018a,2018PASJ...70S..35M,Matsuoka2018a,2018PASJ...70S..35M
J025226.68-023720.72,43.111174,-2.622423,6.16,20.98,-25.76,Banados2023,2023ApJS..265...29B,Banados2023,2023ApJS..265...29B
J093551.64+034847.20,143.965167,3.813111,6.16,22.21,-24.53,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J145109.79-044542.12,222.79078,-4.7617,6.16,20.51,-26.23,Martinez-Ramirez2026,2026arXiv260308830M,Martinez-Ramirez2026,2026arXiv260308830M
J114632.66-015438.30,176.636083,-1.910639,6.16,23.31,-23.43,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2018b,2018ApJS..237....5M
J222901.66+145708.30,337.256917,14.952306,6.1517,22.01,-24.72,Willott2010a,2010AJ....139..906W,Willott2015,2015ApJ...801..123W
J221604.36-050017.58,334.018158,-5.004885,6.15,21.07,-25.66,Banados2023,2023ApJS..265...29B,Banados2023,2023ApJS..265...29B
J134733.69-015750.60,206.890375,-1.964056,6.15,22.0,-24.73,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J154825.40+005015.50,237.105833,0.837639,6.15,21.11,-25.62,Wang2019b,2019ApJ...884...30W,Wang2019b,2019ApJ...884...30W
J083400.88+021146.90,128.503667,2.196361,6.15,22.68,-24.05,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2018b,2018ApJS..237....5M
J084303.76+291113.40,130.765667,29.187056,6.15,20.94,-25.79,Wang2019b,2019ApJ...884...30W,Wang2019b,2019ApJ...884...30W
J090921.50+044042.90,137.339583,4.678583,6.15,21.85,-24.88,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2018b,2018ApJS..237....5M
J115924.01+020041.80,179.850042,2.011611,6.15,24.42,-22.31,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J142821.39-160243.30,217.089133,-16.045361,6.1498,19.84,-26.89,Banados2016,2016ApJS..227...11B,Decarli2018,2018ApJ...854...97D
J221917.22+010248.90,334.82175,1.046917,6.1492,24.19,-22.54,Kashikawa2015,2015ApJ...798...28K,Willott2017,2017ApJ...850..108W
J160937.28+304147.73,242.40532,30.696591,6.146,20.41,-26.32,Jiang2016,2016ApJ...833..222J,Shen2019,2019ApJ...873...35S
J231833.10-302933.36,349.63793,-30.4926,6.1456,20.34,-26.39,Banados2023,2023ApJS..265...29B,Venemans2020,2020ApJ...904..130V
J144823.33+433305.90,222.097208,43.551639,6.14,22.37,-24.36,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J143505.15+044908.32,218.771476,4.818977,6.14,20.83,-25.9,Banados2023,2023ApJS..265...29B,Banados2023,2023ApJS..265...29B
J022223.74+024535.00,35.598917,2.759722,6.14,21.82,-24.91,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J011224.59-011557.30,18.102458,-1.265917,6.14,22.84,-23.89,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J082813.42+263355.57,127.0559,26.565437,6.14,20.52,-26.21,Banados2023,2023ApJS..265...29B,Banados2023,2023ApJS..265...29B
J135818.89-013249.70,209.578708,-1.547139,6.14,24.55,-22.18,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J143140.45-072443.47,217.918533,-7.412074,6.14,20.44,-26.29,Banados2016,2016ApJS..227...11B,Banados2016,2016ApJS..227...11B
J133740.18+434557.60,204.417417,43.766,6.14,23.62,-23.11,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J020719.59+023826.00,31.831625,2.640556,6.139,26.5,-20.23,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025b,2025ApJ...988...57M
J125051.93+313021.90,192.71637,31.506083,6.138,20.26,-26.47,Fan2006a,2006AJ....131.1203F,Shen2019,2019ApJ...873...35S
J131911.30+095051.49,199.79709,9.847637,6.1347,19.74,-26.99,Mortlock2009,2009A&A...505...97M,Venemans2020,2020ApJ...904..130V
J155635.50+334142.49,239.147931,33.695137,6.13,20.97,-25.76,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J112746.08+022231.50,171.942,2.375417,6.13,23.51,-23.22,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J151657.87+422852.90,229.241125,42.481361,6.13,22.38,-24.35,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J000133.30+000605.40,0.38875,0.1015,6.13,23.01,-23.72,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J143510.65-105325.12,218.79436,-10.89031,6.13,21.21,-25.52,Martinez-Ramirez2026,2026arXiv260308830M,Martinez-Ramirez2026,2026arXiv260308830M
J150019.17-055832.67,225.079881,-5.97574,6.13,20.97,-25.76,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J032021.44-352104.13,50.089335,-35.351148,6.13,20.36,-26.37,Ighina2023;YangD2024,2023MNRAS.519.2060I;2024MNRAS.528.2679Y,Ighina2023,2023MNRAS.519.2060I
J125437.08-001410.70,193.6545,-0.236306,6.13,25.82,-20.91,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2025b,2025ApJ...988...57M
J144001.30-010702.20,220.005417,-1.117278,6.13,24.14,-22.59,Matsuoka2018a,2018PASJ...70S..35M,Matsuoka2018a,2018PASJ...70S..35M
J022336.97-015636.10,35.904042,-1.943361,6.13,23.73,-23.0,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J142331.71-001809.10,215.882125,-0.302528,6.127,24.85,-21.88,Matsuoka2018a,2018PASJ...70S..35M,Matsuoka2025b,2025ApJ...988...57M
J042201.00-192728.69,65.504147,-19.457969,6.1247,20.16,-26.57,Banados2016,2016ApJS..227...11B,Decarli2018,2018ApJ...854...97D
J150941.78-174926.80,227.42408,-17.824111,6.1225,19.64,-27.09,Willott2007,2007AJ....134.2435W,Decarli2018,2018ApJ...854...97D
J141305.38+035829.90,213.272417,3.974972,6.12,23.27,-23.46,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J004440.97-370710.34,11.17069,-37.11954,6.12,20.72,-26.01,Belladitta2025,2025A&A...699A.335B,Belladitta2025,2025A&A...699A.335B
J105642.67+041902.10,164.177792,4.31725,6.12,25.14,-21.59,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J231546.57-002358.10,348.94404,-0.399472,6.12,21.12,-25.61,Jiang2008,2008AJ....135.1057J,Jiang2008,2008AJ....135.1057J
J233429.70+050217.00,353.62375,5.038056,6.12,21.58,-25.15,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J225205.44+022531.90,343.022667,2.425528,6.12,23.99,-22.74,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2018b,2018ApJS..237....5M
J222718.58-332335.02,336.82741,-33.393061,6.12,21.32,-25.41,Banados2023,2023ApJS..265...29B,Banados2023,2023ApJS..265...29B
J095139.01+021952.00,147.912542,2.331111,6.12,25.2,-21.53,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J104119.15+200824.00,160.329792,20.14,6.12,20.65,-26.08,Wang2019b,2019ApJ...884...30W,Wang2019b,2019ApJ...884...30W
J001247.71+033716.90,3.198792,3.621361,6.12,21.59,-25.14,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J002334.65+034223.20,5.894375,3.706444,6.12,22.73,-24.0,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J142738.59+331242.00,216.91079,33.211666,6.118,20.68,-26.05,McGreer2006;Stern2007,2006ApJ...652..157M;2007ApJ...663..677S,Khusanova2022,2022A&A...664A..39K
J120859.23-020034.80,182.246792,-2.009667,6.1165,22.02,-24.7,Matsuoka2018a,2018PASJ...70S..35M,Izumi2019,2019PASJ...71..111I
J155850.99-072409.59,239.712461,-7.402664,6.1102,19.32,-27.4,Banados2016,2016ApJS..227...11B,Eilers2020erratum,2021ApJ...914...74E
J160213.88+350330.93,240.557815,35.058591,6.11,21.08,-25.64,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J144946.78+331943.28,222.444918,33.32869,6.11,21.07,-25.65,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J133204.89+110208.95,203.02036,11.03582,6.11,20.74,-25.98,Martinez-Ramirez2026,2026arXiv260308830M,Martinez-Ramirez2026,2026arXiv260308830M
J103734.52+003750.80,159.393833,0.630778,6.11,23.79,-22.93,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J022215.99-012534.40,35.566625,-1.426222,6.11,24.06,-22.66,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J020038.83-021052.00,30.161792,-2.181111,6.11,25.29,-21.43,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J032123.06-292857.16,50.34609,-29.482544,6.1,21.26,-25.46,YangD2024,2024MNRAS.528.2679Y,YangD2024,2024MNRAS.528.2679Y
J000445.81-004944.30,1.190875,-0.828972,6.1,22.82,-23.9,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J000930.89+325212.93,2.378699,32.870258,6.1,21.13,-25.59,Banados2016,2016ApJS..227...11B,Banados2016,2016ApJS..227...11B
J172355.13+185745.19,260.979719,18.962554,6.1,21.07,-25.65,DESIDR1,2025arXiv250314745D,DESIDR1,2025arXiv250314745D
J030947.49+271757.38,47.447875,27.299273,6.1,20.96,-25.76,Belladitta2020,2020A&A...635L...7B,Khusanova2022,2022A&A...664A..39K
J132535.14+012947.20,201.396417,1.496444,6.1,23.28,-23.44,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J020236.24+030033.60,30.651,3.009333,6.1,23.43,-23.29,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J140646.88-014402.60,211.695333,-1.734056,6.1,23.35,-23.37,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2018b,2018ApJS..237....5M
J102841.66+001755.90,157.173583,0.298861,6.1,21.78,-24.94,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J090138.13+290655.54,135.408892,29.115429,6.1,20.51,-26.21,YangD2024,2024MNRAS.528.2679Y,YangD2024,2024MNRAS.528.2679Y
J040009.17-654400.67,60.03819,-65.73352,6.1,20.71,-26.01,Belladitta2025,2025A&A...699A.335B,Belladitta2025,2025A&A...699A.335B
J221644.47-001650.10,334.185292,-0.280583,6.0962,22.9,-23.82,Matsuoka2016,2016ApJ...828...26M,Izumi2018,2018PASJ...70...36I
J023542.42-053241.60,38.92675,-5.544889,6.0901,23.71,-23.01,Matsuoka2018a,2018PASJ...70S..35M,Harikane2020,2020ApJ...896...93H
J011428.92+254642.57,18.620481,25.778493,6.09,20.54,-26.18,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J103511.29-051537.91,158.797046,-5.26053,6.09,20.08,-26.64,Martinez-Ramirez2026,2026arXiv260308830M,Martinez-Ramirez2026,2026arXiv260308830M
J020033.30-173725.97,30.138733,-17.623879,6.09,21.1,-25.62,Banados2023,2023ApJS..265...29B,Banados2023,2023ApJS..265...29B
J133846.93-005339.50,204.695542,-0.894306,6.09,24.03,-22.69,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J032214.55-184117.47,50.560605,-18.688185,6.09,20.45,-26.27,Banados2023;Ighina2023,2023ApJS..265...29B;2023MNRAS.519.2060I,Banados2023,2023ApJS..265...29B
J131609.75+003553.60,199.040625,0.598222,6.09,23.21,-23.51,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
